Reinforcing Steel Bars Deformed Grade 40 Price,Gross Domestic Product (GDP),"Money Supply, M3",Producer Price Index (PPI) - Manufacturing,US Dollar Exchange Rate,Consumer Price Index (CPI),Inflation Rate,Exports
36.22,3386829,5.75,152.3,43.307,2.5,2.4,4.49
36,3178884,6.25,151.1,43.309,2.3,2.3,5.06
36,3559155,6.93,152.4,44.414,3.8,3.8,4.96
36,3308136,7.03,152.8,44.996,3.5,3.4,5.27
33,3621756,7.1,149.9,43.78,3.8,3.8,5.46
33,3367553,7.2,149.3,44.966,3.9,4.2,5.85
33,3798601,7.59,150.6,44.617,1.9,1.9,4.8
33,3481796,7.69,144.6,44.796,1.5,1.5,5.43
31,3853504,7.74,140.4,45.2,0.6,0.6,5.36
31,3589388,7.83,139.7,46.926,-0.4,-0.14,4.96
31,4066219,8.34,139.2,47.166,0.7,0.7,4.66
30.33,3722688,8.54,134.4,46.108,0.6,0.6,4.73
31,4140186,8.72,135.2,46.96,1.3,1.3,4.87
31,3852483,8.84,133.1,48.257,1.7,1.7,5.36
31,4347319,9.47,133.3,49.813,2.2,2.2,4.97
31,3959977,9.5,133.9,50.194,3.1,3.1,6
31,4437331,9.88,132.6,50.466,2.5,2.5,5.7
31,4142636,10.1,132.4,51.073,3,3.1,5.99
31,4636033,10.6,131.9,49.923,2.9,2.9,5.38
31,4215576,10.9,98.49,52.207,4.3,4.3,6.02
38.72,4720384,11.1,100.15,53.522,5,5.2,5.92
38.72,4397241,11.2,101.55,54.251,6.9,6.7,6.05
37.83,4931988,11.6,100.39,52.724,5.2,5.1,4.73
38.72,4463186,11.6,99.68,52.782,3.4,3.3,6.03
38.72,4985924,11.8,97.41,51.358,2.7,2.7,6.15
38,4675544,12,97.29,52.042,0.5,0.9,6.08
31.54,5258096,13,96.29,50.744,2.4,2.5,5.75
32,4433805,13.1,93.84,51.044,2.2,2.2,5.08
32,4142943,13.6,92.21,49.851,2.3,2.3,5.53
37,4135499,13.5,92.2,48.465,2.2,2.2,6.29
37,4825596,14.2,92.68,48.036,3.3,3.3,5.85
38,4266797,14.2,90.77,48.466,4.1,4.1,6.78
45,4641825,14.4,90.91,48.544,3.7,3.7,6.58
38.24,4426630,14.6,92.29,50.959,4.2,4.2,6.69
38,5204832,15.3,93.01,50.774,3.1,3.1,6.28
53.24,4611219,15.2,95.66,51.96,4,4,7.31
50,4990934,15.4,98.01,55.021,6.1,6.1,6.74
42,4767549,15.4,99.37,58.91,6.9,6.9,7.25
41,5575902,16.3,98.08,56.12,8.1,8.1,5.81
50.08,4907643,16.3,98.45,54.429,7.6,7.6,6.61
50.19,5205820,16.4,98.49,55.362,5.4,5.4,6.73
51.75,5053783,16.7,99.12,56.961,6.1,6.1,6.77
67.2,5884513,17.4,98.71,55.567,3.9,3.9,5.78
68.43,5190210,17.2,97.26,56.281,3.7,3.7,6.22
38.98,5533272,17.5,98.28,58.868,3.7,3.7,5.57
38.98,5317540,17.6,97.75,55.892,1.9,1.9,6.26
