PC,Gross Domestic Product (GDP),"Money Supply, M3",Producer Price Index (PPI) - Manufacturing
220.56,3386829,5.75,152.3
218,3178884,6.25,151.1
218,3559155,6.93,152.4
218,3308136,7.03,152.8
230,3621756,7.1,149.9
230,3367553,7.2,149.3
220,3798601,7.59,150.6
230,3481796,7.69,144.6
230,3853504,7.74,140.4
226.67,3589388,7.83,139.7
226.67,4066219,8.34,139.2
228.89,3722688,8.54,134.4
228.33,4140186,8.72,135.2
228.33,3852483,8.84,133.1
230.5,4347319,9.47,133.3
230.5,3959977,9.5,133.9
228,4437331,9.88,132.6
223.5,4142636,10.1,132.4
226.29,4636033,10.6,131.9
223.14,4215576,10.9,98.49
230,4720384,11.1,100.15
230,4397241,11.2,101.55
280,4931988,11.6,100.39
232.5,4463186,11.6,99.68
232.5,4985924,11.8,97.41
230,4675544,12,97.29
234.78,5258096,13,96.29
226.75,4433805,13.1,93.84
226.75,4142943,13.6,92.21
225,4135499,13.5,92.2
232.5,4825596,14.2,92.68
232.5,4266797,14.2,90.77
232.5,4641825,14.4,90.91
227.97,4426630,14.6,92.29
220,5204832,15.3,93.01
223.22,4611219,15.2,95.66
223.67,4990934,15.4,98.01
223.89,4767549,15.4,99.37
224.44,5575902,16.3,98.08
247.83,4907643,16.3,98.45
248.33,5205820,16.4,98.49
250,5053783,16.7,99.12
249.78,5884513,17.4,98.71
251.44,5190210,17.2,97.26
251.44,5533272,17.5,98.28
250.22,5317540,17.6,97.75
